dt,AverageTemperature,AverageTemperatureUncertainty,Country
2012-10-01,27.12,0.314,Brazil
2012-11-01,26.683000000000003,0.234,Brazil
2012-12-01,26.575,0.285,Brazil
2013-01-01,26.239,0.301,Brazil
2013-02-01,26.217,0.331,Brazil
2013-03-01,26.233,0.278,Brazil
2013-04-01,25.464,0.253,Brazil
2013-05-01,24.906,0.236,Brazil
2013-06-01,24.788,0.251,Brazil
2013-07-01,24.202,0.201,Brazil
2013-08-01,24.736,0.247,Brazil
2013-09-01,,,Brazil
